userID ItemID FitRate StyleRate
85 22 5 4 
85 47 1 2 
85 28 4 5 
86 86 2 4 
86 30 5 2 
86 100 4 1 
87 16 5 5 
87 98 2 4 
87 11 1 3 
87 1 2 3 
87 14 3 1 
88 99 2 5 
88 35 5 5 
88 40 1 1 
88 51 1 4 
89 99 1 1 
90 80 1 5 
90 59 4 2 
91 59 3 5 
91 29 5 4 
91 29 4 4 
91 81 2 4 
92 27 1 3 
92 93 4 3 
92 45 4 1 
92 66 1 4 
93 45 5 2 
93 86 3 3 
93 41 1 5 
93 57 2 2 
94 96 2 1 
94 70 1 5 
95 40 5 4 
95 80 3 4 
95 76 5 5 
95 78 2 3 
95 88 3 2 
96 36 3 2 
96 71 5 2 
96 98 1 2 
97 81 1 1 
97 46 5 4 
97 63 4 1 
98 69 5 5 
98 5 1 4 
99 48 3 5 
99 32 3 3 
99 92 5 4 
99 79 5 2 
100 89 4 2 
101 96 1 1 
102 79 4 3 
102 93 2 3 
102 95 5 5 
103 22 5 1 
103 35 4 1 
103 42 1 1 
103 15 5 2 
104 6 3 5 
104 52 4 4 
104 46 2 3 
104 90 5 4 
105 45 4 2 
105 76 5 4 
105 39 3 2 
106 93 1 1 
106 58 3 1 
106 73 3 3 
107 90 2 5 
107 3 5 4 
107 28 3 4 
107 25 2 4 
108 20 5 2 
108 20 1 3 
109 77 1 5 
110 20 5 2 
110 78 5 2 
111 40 2 3 
112 22 3 2 
112 86 3 1 
113 84 3 3 
113 85 2 5 
113 73 4 1 
113 27 5 1 
113 42 3 2 
114 78 5 5 
114 17 1 5 
114 80 2 5 
115 62 5 2 
115 96 1 2 
115 39 4 1 
115 9 3 2 
116 10 1 4 
116 15 5 3 
116 59 3 5 
116 51 4 1 
116 88 1 1 
117 83 1 2 
117 36 4 4 
117 60 4 4 
117 22 2 4 
118 40 1 5 
118 63 4 3 
119 84 3 1 
119 99 3 3 
120 17 3 1 
120 5 4 1 
120 7 5 3 
120 15 4 5 
121 53 4 2 
121 91 1 4 
122 83 3 3 
122 21 4 3 
122 56 4 4 
123 3 1 2 
123 40 3 4 
123 97 1 4 
123 100 4 3 
124 52 3 5 
124 54 5 3 
124 25 1 1 
124 87 4 4 
124 18 3 1 
125 53 3 1 
125 56 2 2 
125 93 1 5 
125 3 5 1 
126 17 1 5 
126 42 3 5 
126 63 1 3 
126 70 2 4 
127 79 1 5 
127 92 3 5 
128 98 4 3 
128 84 5 1 
129 92 3 5 
129 26 1 2 
129 67 4 2 
129 27 5 3 
130 2 4 2 
130 88 3 5 
131 80 2 2 
131 3 3 3 
131 64 2 2 
131 69 4 2 
132 81 5 3 
132 16 2 1 
133 11 1 2 
133 62 3 3 
134 6 3 2 
134 97 1 3 
135 85 4 5 
135 6 3 5 
136 90 5 4 
136 43 5 5 
137 62 2 5 
138 68 2 1 
138 63 4 2 
139 6 3 5 
139 25 3 5 
139 44 5 5 
140 83 2 1 
140 66 3 5 
140 15 1 2 
140 96 4 5 
140 31 2 4 
141 95 4 1 
141 64 5 1 
142 2 1 1 
142 94 5 3 
143 58 2 1 
143 26 3 3 
143 33 5 3 
144 86 5 5 
144 46 5 5 
145 11 1 4 
145 98 4 1 
145 74 2 1 
145 19 3 4 
145 36 4 4 
146 69 1 5 
146 18 3 4 
146 17 4 4 
146 18 1 1 
146 73 4 1 
147 46 5 5 
147 84 5 2 
147 71 3 5 
147 47 4 3 
147 15 3 1 
148 18 1 1 
148 33 4 2 
148 50 3 1 
149 68 5 2 
149 38 1 1 
149 7 4 1 
149 33 3 2 
150 37 4 3 
150 82 2 5 
150 52 2 4 
150 77 4 1 
151 69 2 5 
152 35 3 4 
152 93 3 3 
153 78 4 1 
153 47 1 3 
153 23 5 2 
154 9 1 2 
155 32 2 1 
155 50 4 2 
155 35 3 4 
155 96 4 5 
155 30 4 1 
156 28 3 5 
156 60 5 2 
156 24 5 3 
156 75 2 4 
156 95 2 3 
157 97 2 3 
157 26 1 3 
157 85 5 4 
157 42 2 5 
157 25 2 5 
158 98 4 1 
158 100 1 3 
158 87 4 1 
158 39 2 4 
159 22 4 4 
159 58 2 5 
159 44 3 5 
159 19 3 1 
160 21 2 1 
160 20 4 2 
160 82 1 4 
160 75 2 2 
161 3 1 4 
161 33 3 4 
161 0 1 3 
161 10 3 2 
162 13 5 2 
163 32 4 5 
163 35 2 1 
163 29 4 3 
164 66 4 2 
165 43 4 4 
165 66 2 1 
165 6 5 5 
166 39 4 2 
166 59 5 2 
166 41 3 4 
166 52 5 1 
166 15 5 5 
167 7 5 1 
167 68 3 4 
168 10 5 3 
169 52 1 2 
169 41 4 3 
170 33 3 1 
171 66 1 2 
171 17 4 1 
171 66 1 2 
171 71 4 4 
172 65 4 5 
172 12 4 5 
172 6 5 2 
172 67 5 4 
172 63 1 5 
173 93 2 3 
173 99 4 1 
173 33 1 4 
173 95 4 1 
174 78 5 4 
174 95 1 1 
174 15 5 4 
174 34 1 1 
175 52 2 3 
175 74 4 2 
175 19 2 1 
175 94 5 4 
175 64 5 4 
176 65 5 5 
176 7 5 3 
177 62 1 5 
177 89 5 2 
177 50 3 5 
177 77 3 3 
178 2 5 4 
178 93 4 1 
178 55 3 2 
178 74 2 1 
178 24 3 5 
179 3 3 3 
179 45 5 2 
179 92 2 4 
180 82 3 5 
180 37 4 2 
180 68 4 2 
180 40 2 3 
181 3 4 5 
181 38 5 3 
181 10 5 1 
181 65 1 1 
181 70 3 1 
182 64 2 3 
183 2 1 5 
183 79 5 5 
183 52 2 1 
183 12 3 3 
184 28 2 4 
184 14 3 4 
184 56 1 5 
184 27 5 2 
185 39 1 1 
186 57 5 4 
186 21 4 4 
187 0 2 1 
187 43 2 3 
187 44 5 3 
187 62 3 1 
188 78 2 2 
188 6 5 3 
188 50 2 3 
188 71 5 5 
189 80 5 3 
190 44 3 3 
190 63 5 2 
190 87 2 5 
190 27 5 2 
190 44 2 1 
191 93 2 5 
191 60 2 1 
191 76 5 2 
191 31 5 4 
192 3 3 4 
192 100 3 1 
192 96 1 4 
192 48 4 4 
192 3 2 1 
193 22 3 4 
193 1 1 3 
193 8 4 3 
194 83 1 4 
194 93 4 1 
195 52 2 4 
195 89 4 4 
195 55 3 3 
195 11 3 1 
196 78 1 3 
196 72 2 4 
196 46 1 3 
197 80 3 5 
198 2 1 5 
198 36 4 3 
198 44 2 2 
198 81 2 3 
198 67 1 4 
199 47 5 2 
199 56 1 2 
200 6 2 5 
200 26 2 5 
200 64 5 5 
200 22 3 3 
201 59 5 5 
201 42 1 2 
201 76 1 1 
201 1 3 1 
202 29 5 3 
202 70 1 5 
202 24 4 2 
202 68 5 4 
203 62 4 1 
203 90 3 3 
203 84 2 5 
204 35 4 1 
204 89 2 4 
204 0 2 5 
204 22 4 5 
204 47 1 4 
205 33 1 2 
205 10 1 5 
205 90 1 3 
205 9 4 1 
206 59 2 2 
206 81 1 5 
206 19 2 2 
206 6 2 2 
207 64 2 1 
207 1 3 3 
208 44 3 5 
208 30 5 4 
209 76 2 4 
210 9 1 5 
211 15 4 4 
211 13 2 1 
211 61 5 2 
212 27 4 3 
212 69 5 5 
212 99 4 3 
212 91 2 2 
213 14 5 1 
213 89 5 2 
213 83 5 1 
213 19 2 1 
213 26 5 3 
214 24 3 4 
214 52 3 3 
215 18 2 1 
215 54 4 5 
215 97 2 4 
216 91 4 4 
216 69 4 2 
216 5 1 5 
217 77 5 2 
218 23 2 2 
218 70 1 1 
218 75 5 2 
218 19 2 2 
219 70 1 1 
219 15 4 4 
219 55 4 2 
220 94 1 1 
220 78 3 1 
220 97 3 3 
220 17 2 5 
221 97 5 3 
221 71 3 5 
221 76 5 3 
222 89 1 3 
223 93 4 2 
223 62 4 2 
223 49 4 3 
224 21 2 3 
224 95 2 3 
225 66 2 2 
225 34 5 1 
226 21 2 5 
226 44 3 4 
227 100 2 4 
228 20 2 1 
228 87 2 3 
228 100 5 3 
228 17 4 5 
229 57 2 3 
229 86 2 4 
229 47 1 5 
229 79 1 4 
229 85 3 2 
230 89 3 5 
230 67 2 4 
230 67 5 3 
231 18 4 3 
231 25 1 1 
231 15 4 3 
232 44 1 4 
232 37 2 4 
233 55 3 4 
234 39 1 5 
235 35 2 3 
235 70 3 3 
235 30 4 4 
235 54 3 3 
236 46 3 5 
236 93 2 1 
236 92 1 5 
236 93 1 5 
236 93 2 4 
237 19 3 2 
238 74 5 5 
239 69 3 1 
240 39 1 2 
240 61 5 2 
240 14 2 4 
240 64 3 5 
240 55 1 3 
241 47 1 1 
241 66 1 4 
241 98 3 1 
241 21 3 4 
242 94 5 1 
242 74 5 4 
242 56 2 5 
243 67 1 5 
243 56 2 3 
243 80 4 5 
243 45 2 5 
243 92 1 3 
244 46 4 5 
244 60 5 3 
245 63 2 2 
245 13 4 5 
245 28 5 4 
245 85 4 1 
245 59 3 1 
246 58 2 4 
246 6 3 5 
246 66 2 4 
246 20 5 5 
247 45 5 5 
247 56 2 5 
248 61 1 1 
249 35 3 3 
249 24 2 3 
249 10 4 1 
250 8 4 3 
250 43 2 3 
251 86 4 2 
251 28 3 5 
252 68 3 1 
252 73 2 1 
252 75 4 1 
252 50 4 5 
253 20 3 4 
253 49 3 5 
253 85 1 1 
253 5 2 4 
254 55 5 2 
254 22 3 5 
254 22 2 4 
254 49 5 1 
254 24 1 1 
255 90 3 5 
255 92 4 1 
255 4 5 3 
255 59 5 5 
256 71 5 2 
256 36 5 3 
257 20 1 1 
257 3 2 2 
257 11 3 4 
258 2 1 3 
258 18 4 4 
259 84 3 3 
260 31 2 3 
260 81 2 3 
260 7 1 5 
260 65 1 1 
260 94 4 3 
261 12 2 3 
262 41 5 5 
263 79 2 5 
263 82 4 4 
263 33 2 1 
264 55 3 2 
264 15 3 5 
264 77 2 3 
264 83 5 3 
264 53 2 2 
265 0 3 5 
266 23 1 4 
266 43 1 5 
267 87 4 1 
267 0 5 3 
267 43 4 1 
267 55 2 2 
267 68 5 3 
268 42 3 3 
268 74 4 2 
268 48 2 3 
268 65 1 1 
269 49 3 5 
270 63 3 5 
270 41 4 5 
270 71 2 2 
270 19 1 1 
271 54 2 5 
271 59 2 1 
271 59 1 5 
271 87 1 3 
272 85 1 3 
272 96 4 4 
272 3 4 4 
273 13 5 2 
273 63 1 4 
274 45 1 2 
275 48 4 4 
275 37 1 3 
276 91 2 3 
276 62 2 2 
276 54 2 3 
276 42 3 3 
276 27 5 1 
277 37 4 1 
278 57 5 3 
278 2 3 2 
278 58 5 5 
278 65 2 3 
279 100 5 2 
279 63 2 4 
279 9 3 4 
280 56 3 5 
280 71 3 5 
280 87 2 4 
280 33 3 5 
280 42 5 3 
281 57 5 2 
281 54 4 2 
282 93 2 4 
282 60 4 4 
282 70 3 3 
282 59 2 5 
283 69 2 1 
283 3 5 5 
283 18 2 5 
283 95 2 5 
283 73 5 1 
284 81 3 3 
284 51 5 4 
284 15 4 5 
285 22 4 4 
285 76 3 4 
286 71 5 3 
286 13 1 1 
286 36 5 4 
287 87 4 3 
287 84 4 2 
287 39 3 4 
288 40 4 5 
288 84 1 2 
288 75 1 1 
288 90 3 5 
288 46 2 3 
289 89 1 2 
289 84 2 5 
289 12 1 5 
289 4 2 5 
290 66 2 3 
290 50 1 3 
290 89 4 4 
290 82 2 3 
290 26 1 1 
291 90 1 1 
291 24 1 3 
291 5 2 5 
291 20 2 5 
291 18 2 3 
292 98 5 2 
292 65 2 2 
292 71 2 3 
292 8 2 5 
292 1 3 1 
293 18 5 4 
293 65 1 1 
293 30 4 5 
294 47 5 4 
294 68 5 1 
294 76 4 2 
295 48 2 3 
296 43 2 5 
297 89 1 2 
298 69 1 2 
299 0 5 5 
300 54 3 3 
300 52 3 5 
301 14 3 1 
301 35 3 3 
301 88 3 2 
302 51 2 3 
303 48 1 3 
303 52 1 2 
303 92 2 3 
303 72 5 1 
303 34 4 2 
304 86 5 4 
304 17 5 4 
305 18 2 1 
305 26 2 3 
305 84 2 5 
306 83 1 2 
307 87 1 2 
308 97 3 5 
308 60 3 1 
308 46 2 2 
309 46 3 4 
309 49 4 3 
309 48 2 1 
309 18 5 2 
309 73 1 4 
310 100 3 1 
310 34 2 1 
310 1 5 1 
311 84 2 4 
311 5 4 4 
312 74 1 4 
312 68 2 1 
312 7 1 4 
312 7 3 3 
313 39 3 2 
314 42 2 2 
314 67 1 5 
315 89 3 2 
316 43 5 3 
316 2 5 1 
316 65 1 1 
317 48 5 2 
318 60 2 1 
318 74 1 2 
319 52 5 2 
319 62 3 3 
319 63 4 1 
319 25 1 5 
319 76 4 4 
320 50 1 4 
320 13 3 1 
320 29 1 1 
320 95 3 2 
320 82 1 2 
321 43 1 5 
321 90 2 5 
321 27 2 5 
322 34 5 3 
322 35 1 4 
322 7 2 2 
323 86 4 5 
323 10 4 5 
323 60 3 5 
324 99 5 5 
324 71 2 1 
324 5 4 5 
324 60 1 2 
325 31 2 2 
325 97 4 3 
325 28 1 2 
325 18 2 1 
326 25 5 2 
326 58 2 5 
326 5 5 1 
326 74 3 1 
327 25 5 5 
327 51 2 5 
327 1 5 1 
328 27 3 2 
328 72 3 1 
328 78 4 5 
328 75 2 4 
329 55 1 2 
329 69 1 3 
329 47 5 5 
329 60 2 2 
330 80 1 5 
331 38 4 5 
332 11 3 2 
332 43 3 3 
332 73 3 1 
332 20 2 5 
333 50 3 3 
333 82 3 2 
333 30 2 1 
334 12 3 1 
334 90 5 4 
334 9 4 1 
335 49 3 4 
335 1 3 2 
335 51 5 3 
335 85 1 2 
336 36 3 4 
336 89 3 3 
336 67 3 3 
336 65 4 5 
336 59 4 2 
337 15 3 3 
337 73 3 1 
337 38 2 1 
338 93 2 2 
338 87 1 4 
338 31 3 4 
338 1 1 4 
339 31 3 1 
339 27 3 4 
339 52 4 1 
340 26 1 5 
340 17 5 5 
340 26 1 4 
340 80 3 4 
341 7 2 3 
341 33 2 3 
342 56 1 5 
342 10 3 3 
343 44 3 1 
343 53 4 2 
343 70 3 4 
343 63 1 1 
344 77 1 2 
344 79 2 5 
344 73 5 2 
344 46 4 2 
344 20 2 1 
345 64 1 5 
345 100 1 3 
345 56 5 1 
345 60 4 5 
345 9 2 1 
346 40 1 1 
347 34 1 1 
347 2 2 4 
347 27 3 5 
347 22 4 2 
347 63 1 1 
348 64 1 1 
348 84 2 3 
348 88 3 1 
348 70 1 1 
349 61 5 2 
349 65 4 2 
349 38 1 3 
350 29 1 4 
350 51 3 2 
350 51 2 1 
351 45 2 2 
352 54 3 3 
352 95 1 5 
352 63 3 2 
352 82 4 2 
353 49 4 4 
353 76 2 4 
354 12 5 1 
355 47 4 3 
355 32 2 5 
356 55 3 2 
356 93 5 3 
356 100 5 1 
356 75 4 4 
356 0 1 5 
357 1 4 1 
358 55 5 3 
359 9 5 2 
359 79 1 1 
359 36 4 4 
359 65 5 3 
359 45 1 3 
360 7 4 4 
361 85 1 1 
361 57 2 3 
361 10 1 3 
361 12 1 2 
361 96 3 1 
362 73 3 2 
362 93 3 5 
363 31 2 1 
363 100 2 5 
364 8 3 5 
364 4 2 3 
364 83 4 5 
365 26 1 1 
365 58 3 4 
365 68 3 1 
365 29 5 5 
365 78 1 5 
366 58 2 2 
366 44 2 3 
366 41 5 3 
367 16 1 2 
367 70 3 5 
367 99 1 4 
367 38 5 1 
367 80 5 4 
368 74 2 5 
368 42 5 1 
369 38 1 5 
369 1 2 5 
369 80 2 4 
369 21 1 4 
369 67 4 4 
370 74 1 5 
371 6 1 3 
371 97 5 3 
371 28 5 2 
372 35 3 5 
372 97 3 1 
372 68 5 2 
372 86 5 3 
373 39 5 2 
373 83 3 1 
373 71 1 4 
373 96 1 3 
373 39 3 2 
374 37 5 1 
374 26 4 4 
375 50 3 4 
375 74 3 5 
375 19 3 3 
375 32 2 3 
375 92 1 4 
376 78 3 1 
376 89 4 4 
377 0 4 5 
378 39 3 5 
378 78 2 3 
378 73 2 5 
378 91 4 2 
378 43 1 1 
379 22 4 4 
380 88 3 3 
381 14 3 4 
381 23 1 5 
381 95 4 3 
381 4 2 2 
382 63 5 4 
383 89 1 4 
383 27 4 1 
384 18 4 3 
384 88 3 5 
384 71 4 3 
385 43 1 1 
386 19 5 2 
386 36 1 5 
386 73 2 3 
386 97 1 5 
386 23 4 4 
387 79 5 4 
388 88 2 1 
388 74 2 2 
388 2 4 2 
389 54 4 1 
390 64 1 2 
391 10 1 2 
392 54 2 2 
392 63 3 3 
392 46 1 3 
392 17 2 3 
392 77 2 2 
393 9 4 5 
393 65 4 1 
393 4 2 4 
393 69 3 4 
394 0 3 5 
394 39 5 3 
394 0 5 2 
395 84 4 1 
395 41 1 5 
395 52 5 2 
396 23 5 2 
396 69 5 4 
397 46 3 5 
397 53 3 2 
398 29 1 1 
399 79 1 1 
399 22 1 1 
399 38 2 3 
399 63 5 5 
399 57 3 5 
400 90 1 1 
400 25 5 4 
400 63 2 4 
401 77 2 5 
401 26 4 5 
401 12 2 4 
401 62 5 5 
402 29 3 3 
402 88 2 2 
403 1 4 2 
404 38 1 5 
405 58 2 2 
405 60 4 1 
405 65 1 2 
405 59 1 2 
405 25 1 3 
406 84 5 5 
406 33 3 4 
406 4 2 3 
407 35 2 4 
407 90 4 5 
407 67 2 1 
407 12 3 3 
408 0 5 3 
409 59 2 2 
410 69 4 1 
411 79 4 3 
411 63 3 5 
411 57 5 1 
412 32 3 5 
412 99 2 2 
412 72 1 2 
412 24 1 3 
413 82 1 4 
414 6 5 3 
414 16 2 3 
414 97 4 2 
415 83 1 1 
415 67 2 3 
415 6 5 4 
415 95 4 2 
415 23 5 5 
416 95 4 1 
417 48 4 4 
417 31 1 5 
417 80 2 5 
417 23 3 3 
417 74 4 1 
418 84 1 2 
418 84 1 4 
418 96 3 5 
418 28 5 3 
418 76 4 2 
419 42 3 4 
420 17 5 4 
420 6 5 2 
420 22 3 4 
420 42 5 3 
420 77 1 5 
421 17 3 4 
421 74 1 2 
422 28 4 1 
422 69 3 1 
422 77 2 5 
422 25 4 4 
422 10 5 4 
423 8 3 1 
423 93 2 3 
423 25 1 3 
423 57 2 4 
424 30 4 5 
424 7 2 2 
424 67 4 1 
424 36 1 3 
425 68 3 3 
425 51 4 3 
425 77 1 2 
425 59 2 1 
425 52 2 3 
426 93 5 5 
427 84 4 3 
428 60 2 5 
428 61 3 1 
429 7 4 3 
430 63 5 3 
430 86 3 4 
430 25 4 1 
431 99 2 5 
431 55 4 3 
431 64 3 1 
431 86 4 2 
432 76 4 4 
432 45 5 1 
432 77 3 2 
432 90 1 4 
433 24 2 4 
433 80 2 4 
433 39 4 2 
433 82 4 3 
433 20 5 4 
434 2 3 4 
434 67 1 5 
434 46 3 5 
434 60 3 5 
434 43 3 2 
435 85 2 2 
435 37 1 1 
435 12 1 1 
435 85 1 1 
435 58 5 1 
436 84 2 1 
437 27 2 3 
437 27 1 4 
437 64 2 2 
438 100 4 3 
438 8 2 1 
438 29 2 3 
438 90 5 4 
439 97 5 2 
439 7 4 3 
439 34 2 4 
440 0 3 3 
440 94 4 4 
440 31 4 4 
440 74 3 2 
441 80 1 3 
441 14 1 3 
441 56 4 1 
441 37 2 3 
441 56 3 1 
442 18 4 3 
442 61 1 2 
442 7 2 1 
443 96 3 1 
444 49 4 1 
445 81 2 3 
445 11 1 4 
445 43 4 4 
445 85 2 5 
446 85 3 3 
446 68 2 1 
446 17 5 4 
446 9 2 1 
447 96 2 4 
448 66 5 1 
448 59 5 5 
448 91 1 1 
448 99 2 1 
449 90 2 4 
449 31 4 2 
449 40 4 2 
449 76 3 2 
450 89 3 4 
450 63 5 1 
450 17 3 3 
451 86 5 1 
451 52 4 2 
451 92 1 5 
451 91 3 2 
452 42 4 5 
452 57 2 2 
452 33 1 3 
452 91 2 4 
453 30 3 1 
453 39 4 1 
454 75 5 2 
454 15 2 2 
454 91 1 2 
454 99 5 4 
455 24 3 4 
456 100 3 2 
456 66 4 4 
456 30 1 3 
457 81 2 4 
457 76 4 1 
457 53 2 1 
457 84 3 5 
457 90 1 2 
458 47 2 2 
458 78 5 1 
458 95 4 5 
459 2 5 1 
460 31 2 5 
461 60 3 2 
461 61 3 2 
461 97 5 5 
461 32 3 4 
461 81 3 4 
462 57 4 3 
462 59 1 1 
462 1 2 4 
462 5 3 1 
462 20 2 3 
463 0 2 5 
463 48 4 4 
463 48 3 2 
463 68 4 5 
464 43 2 1 
465 32 4 5 
465 2 2 1 
465 53 2 3 
466 95 1 2 
466 77 2 5 
467 44 4 5 
467 11 1 1 
467 79 5 5 
468 35 3 5 
468 96 1 4 
468 88 2 5 
468 69 2 5 
469 53 3 4 
469 86 3 2 
469 25 2 4 
470 53 2 2 
470 92 1 2 
470 74 3 2 
470 2 4 2 
470 90 1 5 
471 26 2 2 
472 92 4 2 
472 48 1 2 
472 13 3 1 
472 15 3 2 
472 36 4 2 
473 97 1 1 
474 47 3 1 
474 76 2 4 
474 74 5 3 
475 12 1 4 
476 94 4 1 
476 39 4 1 
477 35 4 3 
477 47 5 1 
478 67 4 4 
478 12 3 5 
478 96 4 2 
478 49 2 4 
479 46 5 4 
480 12 5 3 
480 31 5 5 
480 38 3 4 
480 43 1 2 
480 8 1 5 
481 49 2 2 
481 6 4 4 
481 24 2 2 
482 77 1 4 
482 43 5 2 
483 33 3 2 
483 83 1 3 
483 23 3 2 
484 1 5 2 
484 12 5 3 
485 61 4 3 
485 21 5 3 
485 8 1 4 
485 16 1 3 
485 21 4 1 
486 50 3 2 
486 12 2 5 
487 86 1 4 
487 87 3 2 
487 2 1 2 
487 3 4 5 
487 87 2 2 
488 1 5 1 
488 16 4 3 
488 1 2 5 
488 26 2 1 
489 6 2 1 
489 56 3 4 
489 25 4 2 
490 68 3 3 
490 97 5 4 
490 77 1 3 
490 66 2 2 
491 23 5 2 
491 46 5 2 
491 64 5 3 
491 2 4 3 
492 35 1 4 
493 38 2 5 
493 29 5 2 
493 1 2 3 
493 87 3 2 
494 4 5 2 
494 64 3 3 
494 83 3 3 
495 51 2 4 
495 53 3 3 
495 84 5 4 
495 47 4 4 
496 82 4 3 
497 47 2 3 
497 50 1 4 
497 3 4 1 
498 96 2 5 
498 14 2 4 
498 92 5 2 
498 9 3 3 
498 35 3 4 
499 68 4 5 
499 61 3 1 
499 45 5 2 
500 98 1 2 
500 46 2 3 
501 43 3 2 
502 51 1 3 
503 49 5 3 
503 44 3 1 
503 62 4 5 
504 45 1 3 
505 78 5 5 
505 70 1 2 
505 20 2 3 
505 82 3 3 
506 12 4 3 
507 82 4 3 
507 92 4 3 
507 41 2 1 
508 78 2 1 
508 84 3 3 
508 1 1 2 
508 0 2 2 
509 5 2 3 
509 29 1 2 
509 8 2 1 
509 92 2 2 
509 78 2 1 
510 55 1 2 
510 34 3 5 
511 39 5 2 
511 76 2 3 
512 89 3 2 
512 41 1 4 
512 79 5 5 
512 43 2 2 
513 87 3 1 
513 80 4 2 
513 22 1 1 
514 34 2 4 
514 79 5 2 
514 46 5 3 
514 99 3 2 
514 50 4 4 
515 9 3 1 
516 68 3 2 
516 68 3 2 
517 84 1 2 
517 37 1 2 
518 67 1 1 
518 65 4 3 
518 87 4 5 
519 32 2 3 
519 6 5 1 
519 38 5 2 
520 5 3 5 
520 86 2 5 
520 10 5 1 
521 1 4 2 
521 26 1 4 
521 40 4 4 
522 95 3 5 
522 75 5 1 
522 77 4 5 
