Brand Name,Only:Accessory/Outerwear/Swimwear/Formalwear/Showroom,Boys,Girls,Address,Website,Logo Link (PNG),Origination Date,Blurb,Organic Y/M/N,Made in the USA Y/N,Low Size,High Size,Twitter,Insta,Facebook,Pinterest,Price Level (1-5),Pop,Techno/Funk,Indie,Hip Hop,Jazz,Lullaby,Jock Jams,Still in Business?,Internal ,Point of Contact,Contact Info
98 Coast Av. USA,,Yes,Yes,"133 NE 1ST AV HALLANDALE BEACH FL, 33009",https://www.98coastav.com/,,2011,"It was created in 2011, in Mexico City with the intention of bringing together high quality with great design and accessible prices.",No,No,6 Month,Adult,cannot find,http://instagram.com/98.coastav,http://facebook.com/98coastav.USA,http://pinterest.com/98coastav,,No,No,No,No,No,No,Yes,,,,
A Bit of Honey,Yes,Yes,Yes,"34 West 33rd Street, Suite 1212, New York, New York 10001",https://www.abitofhoney.com/,,1987,A BIT OF HONEY represents trendy children/tween clothing selling to specialty stores and department stores. ,No,No,3 Month,Adult,cannot find,cannot find,cannot find,cannot find,,Yes,Yes,No,No,Yes,No,Yes,Yes,,,"(212) 947-5644, BusyBee@Abitofhoney.com"
A for Apple,,Yes,Yes,"Room 903, Vogue Centre, 696 Castle Peak Road, Lai Chi Kok, Kowloon.",http://www.aforapple.net/,,2004,The line consists of edgy basics made of the highest quality eco-friendly materials and organic cottons.,Yes,No,6 Month,12 Year,cannot find,cannot find,cannot find,cannot find,$$$$,Yes,Yes,Yes,No,Yes,No,No,Yes,,,"Contact Denise Ho at
Email: denise@aforapple.net
Tel: +852 6491 0567 Fax: +852 2352 0159  Contact Jeffrey Chau at
Email: jeffrey@aforapple.net
Tel: +852 6628 9921
Fax: +852 2352 0159"
A Little Pocket,,Yes,Yes,,https://alittlepocket.com.au/,,,,No,No,2 Year,14 Year,,https://www.instagram.com/alittle_pocket/,https://www.facebook.com/alittlepocket,,$$,Yes,No,No,No,No,No,No,Yes,,,
A. Gold E,,No,No,,https://www.agolde.com,,,,,,,,https://twitter.com/AGoldEjeans,https://www.instagram.com/agolde/,https://www.facebook.com/agoldejeans/?fref=ts,http://www.pinterest.com/agoldejeans/,,,,,,,,,,,,
A.Bird,,Yes,Yes,,http://abirdlife.com/,,2014,A.BIRD is an ever evolving adventure of modern classicism mixed with love & a touch of whimsy.,No,Yes,6 Month,14 Year,https://twitter.com/abirdlife1,cannot find,https://www.facebook.com/abirdbaby,http://www.pinterest.com/abirdlife,$ and $$$,Yes,Yes,No,No,Yes,No,No,Yes,,,"abirdbaby@gmail.com,info@abirdbaby.com"
A076,,Yes,Yes,"Drapstraat 23, 9810 Nazareth
Belgium",http://www.ao76.com/en,,1076,Fashion for boys girls,No,No,4 Year,Adult,cannot find,https://www.instagram.com/ao76_kids/,https://www.facebook.com/Ao76kids/,cannot find,$$$$,Yes,Yes,No,No,Yes,No,Yes,Yes,,,customercare@ao76.com +32 (9) 382 80 21
Aaiko,,No,Yes,"Toetsenbordweg 22, 1033 MZ Amsterdam",https://aaiko.com/,,2005,combining commercialism and creativity in a unique way,No,No,12 Year,Adult,cannot find,https://www.instagram.com/aaikoamsterdam/,https://www.facebook.com/aaikonederland/,cannot find,$$$$,Yes,Yes,No,No,Yes,No,Yes,Yes,,,E-mail: webshop@aaiko.com
Aarrekid,,Yes,Yes,,https://www.aarrekid.fi/en/,,2009,Our mission is to create treasures – clothes. The kind that your soul and body like to wear,No,No,Newborn,Adult,cannot find,http://www.instagram.com/aarrekid,http://www.facebook.com/aarrekid,http://www.pinterest.com/aarrekid,$$$$,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,
Aarya London (Backpacks),Yes,No,No,,http://aarya-london.com/,,,The One and Only Backpack you will ever need for your Little Ones,No,No,4 Year,8 Year,cannot find,cannot find,https://www.facebook.com/londonaarya/,cannot find,$$,Yes,No,No,No,No,No,No,Yes,,,
AB Showrooms,Yes,Yes,Yes,"45 W. 44th Street (between 5th and 6th ave) New York, NY 10036",https://www.abshowrooms.com/,,1992,we are committed to providing today's children with ehtical fashion and not just a quick fix,Maybe,No,1 Year,Adult,cannot find,http://instagram.com/abshowrooms,http://facebook.com/abshowrooms,cannot find,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,
Abandon Ship Clothing,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Absorba,,Yes,Yes,,http://www.absorba.com/en/,,1949,"Absorba gives priority to make long lasting, top quality and functional clothes.",No,No,Newborn,,https://twitter.com/Absorba_France,http://instagram.com/absorba_collection,https://www.facebook.com/Absorba.France,http://www.pinterest.com/absorba/,,Yes,Yes,No,No,Yes,Yes,No,Yes,,,
acbc,,Yes,Yes,,http://www.acbc.ro/shop/,,,"a perfect mix between quality, simplicity, design and comfort",No,No,2 Year,Adult,cannot find,cannot find,cannot find,cannot find,$$$$,Yes,Yes,No,Yes,No,No,Yes,Yes,,,
Accessories by Adriana,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Accessories by Truly Whimsical,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
acebo's (shoes),Yes,No,No,"LEZNA 2000 S.L.Polígono San Crispín, Nave 7, 50250 Illueca (Zaragoza) España.",http://www.acebosshoes.com/en/index.php,,1960s,"Creativity and design, with the seal of quality.",No,No,,,#N/A,#N/A,https://www.facebook.com/acebosshoes?ref=hl,#N/A,,,,,,,,,Yes,,,
Acne Studios,,No,No,"401 Broadway, Suite 2202 New York, NY 10013",https://www.acnestudios.com/us/en/home,,,,,,,,http://www.twitter.com/acnestudios,cannot find,http://www.facebook.com/acnestudios,http://www.pinterest.com/AcneStudios,,,,,,,,,,,,
Acvisa Co.,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Aden & Anais,,Yes,Yes,"20 Jay St Suite 600 Brooklyn, NY 11201",https://www.adenandanais.com/,,2006,"we believe in the comforting assurance of muslin, simplicity, safety, expression through style.",No,No,Newborn,4 Year,https://twitter.com/adenandanais,https://instagram.com/adenandanais/,https://www.facebook.com/adenandanais,https://www.pinterest.com/adenandanais/,$$,No,No,No,No,No,Yes,No,Yes,,,
Adidas,,Yes,Yes,"495 Cedar Crest Road  Spartanburg, SC 29301",https://www.adidas.com/us,,1949,Everything we do is rooted in sports. Everything that happens in sports happens in moments.,No,No,3 Month,Adult,#N/A,#N/A,#N/A,#N/A,$$,Yes,Yes,No,No,No,No,Yes,Yes,,,
Adriana Mae by innova baby,,,,,http://adrianamae-bb.com/,,,,,,,,cannot find,https://www.instagram.com/adrianamaeropa,https://www.facebook.com/Adrianamaebb,cannot find,,,,,,,,,,,,
AG Kids Adriano Goldschmied,,Yes,Yes,"2741 Seminole Ave. South Gate, CA 90280",http://www.agjeans.com/kids,,2000,Chic. Sophisticated. Classic,No,No,1 Year,Adult,http://www.twitter.com/agjeans,http://www.instagram.com/agjeans,http://www.facebook.com/agjeans,http://www.pinterest.com/agjeans,$$$$,No,Yes,No,No,No,No,No,Yes,,,
Agatha Cub,,Yes,Yes,,https://www.agathacub.com/,,,"A home for the weird, the wonderful and the unexpected.",No,No,6 Month,14 Year,https://twitter.com/agathacub,https://instagram.com/agathacub,https://www.facebook.com/agathacub,https://www.pinterest.com/agathacub,$$,Yes,Yes,No,No,No,No,No,Yes,,,
Agatha Ruiz De La Prada,,Yes,Yes,,http://www.agatharuizdelaprada.com/en/,,,,No,No,6 Month,12 Year,https://twitter.com/agathardlp,https://instagram.com/agatharuizdlprada,https://www.facebook.com/agatharuizdelaprada,cannot find,$$$$,Yes,Yes,No,No,No,No,No,Yes,,,
aghi e bubi,,Yes,Yes,,https://www.aghiebubi.com/,,2014,represent the fusion of oriental style with Italian tailoring and a contemporary vision of the baby clothing world,No,No,Newborn,13 Year,cannot find,https://www.instagram.com/aghiebubi/,https://www.facebook.com/aghiebubi/,https://www.pinterest.com/aghiebubi/,,No,Yes,No,No,No,No,No,Yes,,,
Aguaclara Girls</div>,,No,No,,https://aguaclara-swimwear.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Aigle,Yes,Yes,Yes,,https://www.aigle.com/en_fr/,,1853,Aigle products allow people to feel free and fulfilled in nature.,No,No,4 Year,Adult,https://twitter.com/aiglefr/,https://www.instagram.com/aiglefr/?hl=fr=,https://www.facebook.com/Aigle.France/,cannot find,$$$$,No,Yes,No,No,No,No,No,Yes,,,
Aimama</div>,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Aisabobo</div>,,Yes,Yes,,https://www.aisabobo.com/,,,"Elegantly Beautiful, Simply Stunning",No,No,3 Year,12 Year,http://www.twitter.com/Aisabobo,http://www.instagram.com/Aisabobo,http://www.facebook.com/Aisabobo,http://www.pinterest.com/Aisabobo,$$$$,No,No,No,No,Yes,No,No,Yes,,,
Akid,Yes,No,No,,https://akidbrand.com/,,,keep our customers looking fresh.,No,No,,,https://twitter.com/akidbrand,https://www.instagram.com/akidbrand/,https://www.facebook.com/akidbrand/,cannot find,$$$$,,,,,,,,,,,
Akido kids,Yes,No,No,,http://www.akidokids.com/en/,,,"AKIDO is a modern 100% eco-friendly children shoe brand, specialized in creating high-quality vulcanized footwear.",Yes,No,,,https://twitter.com/akidokids,https://www.instagram.com/akidokids/,https://www.facebook.com/akidokids,cannot find,,,,,,,,,,,,
Alba Baby,,Yes,Yes,,http://www.albaofdenmark.dk/,,,is a unique designer baby cotton clothes brand offering high-quality and outstanding children's clothing for boys and girls.,No,No,Newborn,7 Year,cannot find,cannot find,cannot find,cannot find,,Yes,Yes,No,Yes,No,No,No,Yes,,,
Albetta,,Yes,Yes,"Unit 2, Marchmont Farm, Piccotts End Lane, Hemel ",https://www.albetta.co.uk/,,1999,Annabel’s passion is to create clothes for babies and children that are stylish but also fun and a little bit different (and of course highly practical!),No,No,Newborn,6 Year,https://twitter.com/AlbettaUK,http://instagram.com/albettaonline,http://www.facebook.com/pages/Albetta/430425553638868,http://www.pinterest.com/albettaonline,$$,Yes,No,No,No,No,Yes,No,Yes,,,
Album Di Famiglia,,Yes,Yes,,http://www.albumdifamiglia.com/default.asp,,,,No,No,1 Month,10 Year,cannot find,cannot find,cannot find,cannot find,$$$$,No,No,No,No,Yes,No,No,Yes,,,
Alfie Children's Apparel,,Yes,Yes,,https://www.alfie-est2011.com/,,2011,Each piece is created with a focus on quality and comfort,No,No,Newborn,7 Year,cannot find,http://instagram.com/alfie.est2011,https://www.facebook.com/alfie.est2011/,https://nz.pinterest.com/AlfieEST2011/,$$,Yes,Yes,No,No,No,No,No,Yes,,,
Ali's Market,,Yes,Yes,"34 West 33rd St. Suite 906 New York, NY 10001",http://alismarket.com/,,2005,"Our mission is to provide retailers with unique, eye-catching, comfortable clothing for girls and boys from newborn to size 14.",No,Yes,Newborn,14 Year,cannot find,cannot find,cannot find,cannot find,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,
alisette by b,,Yes,Yes,,http://alouette.es/,,2012,,No,No,2 Year,14 Year,#N/A,#N/A,#N/A,#N/A,$,Yes,No,No,No,No,Yes,No,Yes,,,
Alitsa,,No,Yes,"USA Showroom 1450 59th Street Brooklyn, NY 11259 - USA",http://www.alitsa.com.tr/index.php?lang=en,,1978,Alitsa is a modern brand where the family and several employees works with technology and tradition.,No,No,2 Year,16,cannot find,https://www.instagram.com/alitsa_kids/,https://www.facebook.com/alitsakids,cannot find,,Yes,Yes,No,No,Yes,No,No,Yes,,,
alohaloha,,Yes,Yes,,http://www.alohaloha.com/,,1998,Inspiration noticed that the origin of ALOHA is LOVE.,No,No,3 Month,3 Year,cannot find,https://www.instagram.com/alohaloha_japan/,https://www.facebook.com/Alohaloha,cannot find,$,Yes,Yes,No,No,Yes,Yes,No,Yes,,,
Alphabet Soup,,Yes,Yes,"22-24 Pakington Street, Melbourne, VIC 3182, Australia",https://alphabet-soup.com.au/,,2011,We just make what kids want,No,No,1 Year,12 Year,cannot find,http://instagram.com/alphabetsoupclothing,https://www.facebook.com/AlphabetSoupKids,cannot find,$$,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,,
Alviso,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Amaia Kids,,Yes,Yes,14 Cale Street London SW3 3QU,https://amaiakids.co.uk/,,2004,children fashion shop with a loyal and devoted clientele,No,No,Newborn,8 Year,https://twitter.com/Amaiakids,https://www.instagram.com/amaiakids/,https://www.facebook.com/amaiakids,cannot find,$$,Yes,Yes,No,No,Yes,No,No,Yes,,,
Ambajam,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Amelia Milano,No,Yes,Yes,,http://www.ameliamilano.it/en/collezione/fall-winter-2018/,,,,No,No,Newborn,12 Year,#N/A,#N/A,#N/A,#N/A,$$$$$,Yes,Yes,Yes,No,Yes,No,No,Yes,,,
Amelie et Sophie,,No,Yes,,https://ameliesophie.com/en/,,,"Classy, Timeless, Iconic",No,No,3 Year,12 Year,#N/A,https://www.instagram.com/amelieetsophie/,https://www.facebook.com/amelieetsophie/,https://pl.pinterest.com/gosiapluto/amelie-et-sophie/,$$$$,Yes,No,No,No,Yes,No,No,Yes,,,
American Apparel,,Yes,Yes,,http://www.americanapparel.com/en/,,1989,More than Basics,No,No,3 Month,12 Year,https://twitter.com/americanapparel,https://www.instagram.com/amelieetsophie/,https://www.facebook.com/amelieetsophie,https://pl.pinterest.com/gosiapluto/amelie-et-sophie/,$,No,No,No,No,No,Yes,Yes,Yes,,,
American Jewel</div>,Yes,,,,https://www.americanjewel.com/,,,,,,,,https://twitter.com/AmericanJewelHT,https://www.instagram.com/americanjewel,https://www.facebook.com/AmericanJewelHairTies,cannot find,,,,,,,,,,,,
American Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Widgeon</div>,,Yes,Yes,"2401 Merced Street Suite 200 San Leandro, CA 94577",http://widgeonkids.com/nylon-coats,,,designed in the USA inspired by the world,No,No,Newborn,12 Year,cannot find,cannot find,cannot find,cannot find,$$,No,No,No,No,Yes,Yes,Yes,Yes,,,
Ami Amie,,Yes,Yes,,http://ami-amie.jp/,,2011,We produce clothes make children and their parents feel happy as if they joyfully play with friends.,No,No,2 Year,12 Year,cannot find,https://www.instagram.com/amiamie_knit/,https://www.facebook.com/amiamie.knit/,https://www.pinterest.jp/amiamie_knit/boards/,$$,Yes,Yes,No,No,Yes,No,No,Yes,,,
Amiana,Yes,,,,https://www.amianafootwear.com/,,1984,offer cutting edge fashion that is timeless & elegant,No,No,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Amiki,,Yes,Yes,,http://www.amikichildren.com/,,,Sleepwear for beautiful sleeps.,No,No,1 Year,12 Year,cannot find,http://instagram.com/amikichildren,https://www.facebook.com/amikichildren,http://www.pinterest.com/AMIKIchildren,$$,Yes,No,No,No,No,Yes,No,Yes,,,
Ammehoela (Added 4/26),,,,,http://www.ammehoela-kids.nl,,,,,,,,,,,,,,,,,,,,,,,
Amour Bows</div>,No,No,Yes,"61 Jumping Brook Rd Lakewood NJ, 08701",https://www.amourbows.com/,,,Simply the best hair accessories + apparel,No,No,2 Year,14 Year,https://twitter.com/AmourAmourbows,https://www.instagram.com/amourbows/,https://www.facebook.com/pages/Amour/144820635621455,http://www.pinterest.com/malkarosner/pins/,$$$$,No,No,No,No,Yes,No,No,Yes,,,
Amplified Kids,No,Yes,Yes,,https://www.amplifiedclothing.com/blog/amplified-kids-featured-on-my-child-magazine,,2004,,No,No,Newborn,10 Year,http://twitter.com/sugar_bullets,https://www.instagram.com/p/Bdcn3KfnBEY/,http://www.facebook.com/pages/Amplified-Clothing/114121345269904,cannot find,$$$,No,No,Yes,No,No,No,Yes,Yes,,,
Anais & I,,Yes,Yes,"115 West 30th Street, Suite 704 New York, NY 10001",http://anaisandi.com/,,,"Every single piece has been worn, tested, and approved by the children of our very own designer and owner",No,No,,,https://twitter.com/anaisandiNY,http://instagram.com/anaisandi,https://www.facebook.com/pages/Anais-I/276270983148,http://www.pinterest.com/anaisi1694/,,,,,,,,,,,,
Anar Kid,,Yes,Yes,,https://www.anarkid.com/,,,"Made by rebels for rebels.If wearing our threads makes your kid a little mischievous, blame us.",Yes,No,Newborn,3 Year,https://twitter.com/anarkidorganic,https://www.instagram.com/anarkid__/,https://www.facebook.com/anarkid/,https://www.pinterest.com.au/Anarkidorganic/,$$,Yes,No,Yes,No,Yes,No,No,Yes,,,
Anavini</div>,,Yes,Yes,,http://www.anavini.com/website/index.php,,1990,"Specializing in fine, hand-smocked children's clothing",No,No,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Ancar,No,Yes,Yes,,https://www.childrensalon.com/designer/ancar?___store=en,,,,No,,Newborn,12 Year,#N/A,#N/A,#N/A,#N/A,$$,Yes,No,Yes,No,Yes,No,No,Yes,,,
Anchovy,,Yes,Yes,"20 Menlo pl Berkeley, CA",https://fromanchovy.com/,,,Anchovy is a blend of fashion and technology. We create interactive experiments that bring children’s play into unique patterns of our pieces.,No,No,,,cannot find,http://instagram.com/from_anchovy,cannot find,cannot find,,Yes,Yes,No,No,No,No,No,Yes,,,
And Then There was Jake,No,Yes,No,,http://www.jamesgirone.com/andthentherewasjake/,,,,No,Yes,1 Year,7 Year,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Andanines (Shoes),Yes,,,"Pol. Ind. ""El Rubial"" Calle 6, Parcela 22 y 88 03400 Villena (Alicante  Spain)",http://www.andanines.com/home.php,,1983,,,,,,https://twitter.com/andanines_es,https://www.instagram.com/andanines/,https://www.facebook.com/Andanines/,https://nz.pinterest.com/andanines/,,,,,,,,,,,,
Andorine,,Yes,Yes,,http://www.andorine.com/,,2015,"Andorine is a stylish, cool and easy to wear clothing brand for passionate and cosmopolitan children.",No,No,2 Year,14 Year,https://twitter.com/andorine_porto,https://www.instagram.com/andorine_porto/,https://www.facebook.com/andorineporto/,cannot find,$$$$,Yes,Yes,No,No,Yes,No,No,Yes,,,
ANDREW MARC</div>,,No,No,,https://www.andrewmarc.com/home.do?gclid=EAIaIQobChMIn9nm1d321wIVnkoNCh1pyA5dEAAYASAAEgJBivD_BwE,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Andy & Evan,,Yes,Yes,,https://www.andyandevan.com/,,2010,"Andy & Evan is a traditionally-whimsical brand for both Boys & Girls, available in sizes newborn through seven.",No,No,Newborn,14 Year,https://twitter.com/andyandevankids,http://instagram.com/andyandevankids,https://www.facebook.com/andyandevankids,http://www.pinterest.com/andyandevankids/,$$,No,Yes,No,No,Yes,No,No,Yes,,,
Angel Dear</div>,,Yes,Yes,"2975 Whipple Road Union City, CA 94587",http://www.angeldear.net/,,1999,At Angel Dear we create classic baby clothing and accessories with a modern sensibility and attention to special details.,No,No,Newborn,2 Year,http://www.twitter.com/angeldearinc,https://www.instagram.com/angeldearinc/,http://www.facebook.com/angeldearinc,http://www.pinterest.com/angeldearinc,$$,Yes,No,No,No,No,Yes,No,Yes,,,
Angela Frost,,No,Yes,"2646 palma dr Ventura, CA 93003",http://www.angelafrostboutique.com/,,1992,the love of vintage finds and the smallest of details,No,Yes,2 Year,14 Year,cannot find,cannot find,cannot find,cannot find,$$,Yes,Yes,No,No,No,No,Yes,Yes,,,
Angels Face,,No,Yes,"Hill Park Farm, Wrotham Hill Road Sevenoaks, Kent, TN15 7PX",https://www.angels-face.co.uk/,,2007,"Angel's Face are a fun and exciting UK-based children's wear brand, bringing glitter and glamour to every little girl's wardrobe!",No,No,Newborn,13 Year,https://twitter.com/AngelsFaceBrand,https://instagram.com/angelsfaceloves/,https://www.facebook.com/AngelsFaceBrand,https://uk.pinterest.com/angelsfacebrand/,$$$$,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,
Angels New York US</div>,,Yes,Yes,"198-37 Jamaica Avenue Hollis, N.Y 11423 ",http://www.angelsny.com/,,1996,The workmanship of every outfit is carefully inspected to ensure that the one you take home will be a lasting keepsake for your child’s special day.,No,No,6 Month,Adult,cannot find,cannot find,cannot find,cannot find,,Yes,No,No,No,Yes,No,No,Yes,,,
angerolux,,,,"Mitaka City, Tokyo Shimorenjaku 3-38-4 Mitaka Sangyo Plaza 4F",http://angerolux.com/,,1971,light that illuminates the future of children like angels,No,No,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Angulus,Yes,,,,http://www.angulus.dk/,,1940,,,,,,cannot find,http://instagram.com/angulus_official,http://www.facebook.com/ANGULUS.SHOES,http://www.pinterest.com/angulusteam/,,,,,,,,,,,,
Animal Kids Clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anita G,No,No,Yes,,,,,,No,Yes,Newborn,Adult,#N/A,#N/A,#N/A,#N/A,$,Yes,No,Yes,No,Yes,No,No,Yes,,,
Anive for the Minors,,Yes,Yes,,http://anive.se/,,2012,,Yes,No,Newborn,9 Year,cannot find,cannot find,cannot find,cannot find,$$,Yes,Yes,Yes,No,Yes,No,No,Yes,,,
anja schwerbrock treehouse,,Yes,Yes,,https://www.anjaschwerbrock.com/treehouse/,,2005,"Schwerbrock’s fashion is transferring fantasy into a self-confident reality, expressing a charming magic, set in contrast to metropolitan life.",No,No,Newborn,8 Year,cannot find,https://www.instagram.com/anjaschwerbrock_treehouse/,https://www.facebook.com/Anja-Schwerbrock-216597285042378/,cannot find,$$$$,No,No,No,No,Yes,Yes,No,Yes,,,
Anja&#039;s Dream</div>,Yes,,,"95 Hopper St. Westbury, NY 11590",http://anjasdream.com/,,2001,,,,,,cannot find,http://instagram.com/anjasdream,https://www.facebook.com/AnjasDream,http://pinterest.com/anjasdream/,,,,,,,,,,,,
Annafie,,Yes,Yes,37 Avonmore Road London W14 8RT England,http://annafie.com/,,,Aim for a timeless style but with a fresh and uncomplicated approach and easy care.,No,No,3 Month,12 Year,cannot find,cannot find,cannot find,cannot find,$$$,Yes,No,No,No,Yes,No,No,Yes,,,
Anne Claire Petit,Yes,,,van baerlestraat 144hs 1071 be amsterdam the netherlands,https://www.anneclairepetit.nl/home,,2002,,No,No,,,cannot find,https://www.instagram.com/anneclairepetitaccessoires/,http://www.facebook.com/pages/anne-claire-petit-accessoires/292293274130570?ref=ts,cannot find,,,,,,,,,,,,
Anne Kurris,,Yes,Yes,Kattenberg 48 2140 Antwerpen - Belgium,http://www.annekurris.com/,,1998,"Inspired by pop art and nature, and characterized by bright color combinations and a strong graphic design.",No,No,,,cannot find,cannot find,cannot find,cannot find,,Yes,Yes,No,No,Yes,No,No,Yes,,,
Anne Studios,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Anne Valerie Hash,,No,No,,http://www.a-v-h.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Anne Willi,,No,No,,https://www.annewilli.com/en/,,,,,,,,cannot find,http://instagram.com/annewilliparis,https://www.facebook.com/pages/ANNE-WILLI/627395117311026?fref=ts,cannot find,,,,,,,,,,,,
Annie and Daisy,,Yes,Yes,,http://annieanddaisy.com/,,,,No,Yes,Newborn,4 Year,cannot find,https://www.instagram.com/annieanddaisyco/,https://www.facebook.com/annieanddaisy,cannot find,$$,Yes,Yes,No,No,No,No,No,Yes,,,
Anniel,Yes,,,,https://www.annielshop.com/,,,,,,,,https://twitter.com/annielmoda,http://instagram.com/annielscarpinedaballetto,https://www.facebook.com/Annielscarpinedaballettoitaliane/,cannot find,,,,,,,,,,,,
